,epoch,nat_prec1,adv_prec1,nat_loss,adv_loss,train_prec1,train_loss,time,source_eps,target_ds,num_training_images,unfrozen_blocks,seed
6,31,78.63999938964844,-1.0,0.6636599605083465,-1.0,93.42333221435547,0.18245996532440187,4099.72350025177,-1,fmnist,60000,-1,-1
7,36,80.55999755859375,-1.0,0.6206539196014405,-1.0,93.62999725341797,0.17663396306037904,4758.505066394806,-1,fmnist,60000,-1,-1
8,41,80.29999542236328,-1.0,0.6253337951660156,-1.0,93.86499786376953,0.168369425257047,5418.178713798523,-1,fmnist,60000,-1,-1
9,46,91.39999389648438,-1.0,0.24601293251514436,-1.0,94.01166534423828,0.16584723393917084,6077.980278253555,-1,fmnist,60000,-1,-1
10,51,93.75,-1.0,0.1873644347190857,-1.0,97.27000427246094,0.08169559655686219,6738.293068647385,-1,fmnist,60000,-1,-1
11,56,93.64999389648438,-1.0,0.26320561838150025,-1.0,99.99500274658203,0.0038564866703003644,7398.436487436295,-1,fmnist,60000,-1,-1
12,61,93.58999633789062,-1.0,0.2627589644432068,-1.0,100.0,0.0016821935892725984,8057.808291196823,-1,fmnist,60000,-1,-1
13,66,93.64999389648438,-1.0,0.2685174047470093,-1.0,100.0,0.0014147903760895132,8717.41634464264,-1,fmnist,60000,-1,-1
14,71,93.3699951171875,-1.0,0.2715321669578552,-1.0,100.0,0.0014476183811823527,9375.699965000153,-1,fmnist,60000,-1,-1
15,76,92.43000030517578,-1.0,0.2858278228759766,-1.0,99.26000213623047,0.023810701038440067,10035.745822429657,-1,fmnist,60000,-1,-1
